trial,n,log_T2n_minus_log_n
169,192855162879524953693,-0.5753641449035598
170,255153967358642625789,-0.5753641449035669
171,52294876177695563245,-1.268511325463507
172,135582837398677029467,0.11778303565638737
173,30469495409305758547,-0.5753641449035598
174,85248596170732183543,0.8109302162163345
175,279029527147720034307,-1.268511325463507
176,262275153191300510809,0.11778303565638026
177,183155640584069373027,-2.6548056865834013
178,228284120302369820835,-1.9616585060234542
179,123870157692029122437,-1.9616585060234542
180,140697788472939796391,0.8109302162163274
181,70199600461091476305,-1.268511325463507
182,203671776629538605639,0.8109302162163274
183,6294604205219210509,-2.6548056865834013
184,241754521450229652461,-1.268511325463507
185,273541368659241222793,0.11778303565638026
186,242629861534415859193,0.11778303565638026
187,159572774111291197777,-1.268511325463507
188,290990773638279836443,0.11778303565638026
189,158503180258324547747,-1.961658506023447
190,144838543170697596289,-0.5753641449035598
191,54134218859817388451,-1.9616585060234542
192,274517641918723643245,-1.268511325463507
193,272098261006507955595,0.11778303565638026
194,6205422425094844779,0.11778303565638026
195,200164749940636704487,0.8109302162163274
196,119674173364416351879,0.8109302162163274
197,162291361984674123527,0.8109302162163274
198,10252534863172831633,-1.268511325463514
199,128169132289475849981,-0.5753641449035598
200,167737228026033343989,-1.961658506023447
201,283508386953189970875,0.11778303565638026
202,212707965843096495943,0.8109302162163274
203,209016207281964335693,-1.961658506023447
204,155944075388460617019,0.11778303565638026
205,133764787798322108455,0.8109302162163274
206,123985812013799656901,-4.734247228263236
207,114095876289300696841,0.11778303565638737
208,290326012089315163099,0.11778303565638026
209,126039746772880593983,0.8109302162163274
210,207110508589167857383,0.8109302162163274
211,5575852975390187923,-0.5753641449035598
212,83640029646004728591,0.8109302162163345
213,176228367882075335367,0.8109302162163274
214,91202355808736768549,-1.268511325463507
215,176610312481644204867,-1.268511325463507
216,267085135506972501473,-0.5753641449035598
217,64152780349080461389,-1.9616585060234542
218,222566302470301428701,-0.5753641449035598
219,31109530433620236941,-3.3479528671433414
220,183528974554087440737,-0.5753641449035669
221,147461761807978228327,0.8109302162163274
222,140535013575937097121,-0.5753641449035598
223,231000690698308803089,-1.268511325463507
224,275013364841446697583,0.8109302162163274
225,173931210894184984657,-1.268511325463507
226,29902676169717822307,-2.654805686583394
227,122219180137265600141,-3.3479528671433414
228,49076237040565082417,-1.9616585060234542
229,96658451928748188865,-0.5753641449035598
230,93618422903800290599,0.8109302162163274
231,265790236138335591227,0.11778303565638026
232,287655044197083947111,0.8109302162163274
233,129729307660182878225,-1.268511325463507
234,179061729998336507367,0.8109302162163274
235,274111362414052572685,-2.6548056865834013
236,141807222240707139121,-1.9616585060234542
237,63182662017063602099,-0.5753641449035598
238,164331186104647822145,-0.5753641449035669
239,39517284531089316235,0.11778303565638737
240,63441183576537850429,-0.5753641449035598
241,178724563371180201731,-1.268511325463507
242,44968713968161479949,-2.654805686583394
243,198017200115513126463,0.8109302162163345
244,4618472679233354301,-0.5753641449035598
245,162726500073576506709,-6.81368876994307
246,279932859682549061005,-4.041100047703289
247,270272645919703486571,0.11778303565638737
248,97364803559178354433,-0.5753641449035598
249,250605098698859336093,-0.5753641449035598
250,291721329266298798149,-2.654805686583394
251,278384286418613829891,-1.268511325463507
252,192000133594120190419,-0.5753641449035669
253,67702013639384948669,-0.5753641449035598
254,187434135687630447985,-3.3479528671433414
255,289497181821201388191,0.8109302162163274
256,258931359676066111921,-1.9616585060234542
257,153375770069063898661,-1.268511325463507
258,248329632432305695213,-1.268511325463507
