n,residue,M,event_A,event_B,stopping_time,mean_traj_event_A
162570252,12,12,0,1,48,0.291667
131989516,12,12,0,1,70,0.4
179494925,13,12,1,0,156,0.519231
54198285,13,12,1,0,94,0.457447
49418253,13,12,1,0,43,0.255814
131588109,13,12,1,0,100,0.46
118198285,13,12,1,0,130,0.5
10940429,13,12,1,0,68,0.411765
130871309,13,12,1,0,108,0.472222
215703565,13,12,1,0,58,0.327586
38834189,13,12,1,0,138,0.514493
143917069,13,12,1,0,97,0.453608
38076429,13,12,1,0,138,0.514493
40337421,13,12,1,0,81,0.432099
11550733,13,12,1,0,106,0.490566
5324813,13,12,1,0,97,0.484536
156135437,13,12,1,0,140,0.507143
192839693,13,12,1,0,115,0.478261
264818701,13,12,1,0,174,0.528736
251707405,13,12,1,0,90,0.433333
82776077,13,12,1,0,63,0.365079
54190093,13,12,1,0,140,0.514286
176144397,13,12,1,0,118,0.483051
41398285,13,12,1,0,89,0.449438
93011981,13,12,1,0,117,0.487179
96407565,13,12,1,0,125,0.496
80297998,14,12,0,1,112,0.491071
75989006,14,12,0,1,120,0.5
171683854,14,12,0,1,99,0.464646
164081678,14,12,0,1,59,0.355932
57380878,14,12,0,1,137,0.518248
157569038,14,12,0,1,140,0.514286
67809294,14,12,0,1,104,0.480769
110993422,14,12,0,1,141,0.51773
76066830,14,12,0,1,131,0.51145
17051662,14,12,0,1,70,0.428571
169689102,14,12,0,1,129,0.503876
110293006,14,12,0,1,122,0.5
95649806,14,12,0,1,166,0.536145
160485390,14,12,0,1,113,0.486726
232271886,14,12,0,1,196,0.545918
84770830,14,12,0,1,90,0.455556
26071054,14,12,0,1,131,0.519084
132767758,14,12,0,1,111,0.486486
135610382,14,12,0,1,135,0.511111
34582542,14,12,0,1,84,0.452381
239820814,14,12,0,1,96,0.458333
230948878,14,12,0,1,196,0.545918
134336526,14,12,0,1,108,0.481481
235900942,14,12,0,1,101,0.465347
243372047,15,12,1,0,93,0.44086
5836815,15,12,1,0,159,0.540881
212447247,15,12,1,0,123,0.487805
181825551,15,12,1,0,156,0.519231
92086287,15,12,1,0,79,0.417722
138498063,15,12,1,0,143,0.51049
260804623,15,12,1,0,136,0.5
13107215,15,12,1,0,65,0.4
223707151,15,12,1,0,169,0.526627
10153999,15,12,1,0,74,0.432432
