n,v2,log_ratio
9891,1,0.4054988082
9893,4,-1.6739427403
9895,1,0.4054987946
9897,2,-0.2876483928
9899,1,0.4054987810
9901,3,-0.9807955869
9903,1,0.4054987674
9905,2,-0.2876484200
9907,1,0.4054987538
9909,5,-2.3670899752
9911,1,0.4054987402
9913,2,-0.2876484471
9915,1,0.4054987266
9917,3,-0.9807956413
9919,1,0.4054987131
9921,2,-0.2876484743
9923,1,0.4054986995
9925,4,-1.6739428489
9927,1,0.4054986860
9929,2,-0.2876485013
9931,1,0.4054986725
9933,3,-0.9807956954
9935,1,0.4054986590
9937,2,-0.2876485283
9939,1,0.4054986455
9941,7,-3.7533844446
9943,1,0.4054986320
9945,2,-0.2876485553
9947,1,0.4054986185
9949,3,-0.9807957494
9951,1,0.4054986050
9953,2,-0.2876485823
9955,1,0.4054985916
9957,4,-1.6739429568
9959,1,0.4054985781
9961,2,-0.2876486092
9963,1,0.4054985647
9965,3,-0.9807958032
9967,1,0.4054985512
9969,2,-0.2876486360
9971,1,0.4054985378
9973,5,-2.3670901911
9975,1,0.4054985244
9977,2,-0.2876486628
9979,1,0.4054985110
9981,3,-0.9807958568
9983,1,0.4054984976
9985,2,-0.2876486896
9987,1,0.4054984843
9989,4,-1.6739430641
9991,1,0.4054984709
9993,2,-0.2876487163
9995,1,0.4054984576
9997,3,-0.9807959102
9999,1,0.4054984442
10001,2,-0.2876487430
10003,1,0.4054984309
10005,6,-3.0602374786
10007,1,0.4054984176
10009,2,-0.2876487696
10011,1,0.4054984043
10013,3,-0.9807959635
10015,1,0.4054983910
10017,2,-0.2876487962
10019,1,0.4054983777
10021,4,-1.6739431706
10023,1,0.4054983644
10025,2,-0.2876488228
10027,1,0.4054983511
10029,3,-0.9807960166
10031,1,0.4054983379
10033,2,-0.2876488493
10035,1,0.4054983246
10037,5,-2.3670904042
10039,1,0.4054983114
10041,2,-0.2876488758
10043,1,0.4054982982
10045,3,-0.9807960696
10047,1,0.4054982850
10049,2,-0.2876489022
10051,1,0.4054982718
10053,4,-1.6739432765
10055,1,0.4054982586
10057,2,-0.2876489286
10059,1,0.4054982454
10061,3,-0.9807961223
10063,1,0.4054982322
10065,2,-0.2876489549
10067,1,0.4054982190
10069,9,-5.1396792320
10071,1,0.4054982059
10073,2,-0.2876489812
10075,1,0.4054981928
10077,3,-0.9807961749
10079,1,0.4054981796
10081,2,-0.2876490075
10083,1,0.4054981665
10085,4,-1.6739433817
10087,1,0.4054981534
10089,2,-0.2876490337
10091,1,0.4054981403
10093,3,-0.9807962274
10095,1,0.4054981272
10097,2,-0.2876490599
10099,1,0.4054981141
10101,5,-2.3670906146
10103,1,0.4054981011
10105,2,-0.2876490860
10107,1,0.4054980880
10109,3,-0.9807962796
10111,1,0.4054980750
10113,2,-0.2876491121
10115,1,0.4054980619
10117,4,-1.6739434863
10119,1,0.4054980489
10121,2,-0.2876491382
10123,1,0.4054980359
10125,3,-0.9807963317
10127,1,0.4054980229
10129,2,-0.2876491642
10131,1,0.4054980099
10133,6,-3.0602378994
10135,1,0.4054979969
10137,2,-0.2876491902
10139,1,0.4054979839
10141,3,-0.9807963837
10143,1,0.4054979710
10145,2,-0.2876492161
10147,1,0.4054979580
10149,4,-1.6739435902
10151,1,0.4054979451
10153,2,-0.2876492420
10155,1,0.4054979321
10157,3,-0.9807964355
10159,1,0.4054979192
10161,2,-0.2876492678
10163,1,0.4054979063
10165,5,-2.3670908224
10167,1,0.4054978934
10169,2,-0.2876492936
10171,1,0.4054978805
10173,3,-0.9807964871
10175,1,0.4054978676
10177,2,-0.2876493194
10179,1,0.4054978547
10181,4,-1.6739436934
10183,1,0.4054978419
10185,2,-0.2876493451
10187,1,0.4054978290
10189,3,-0.9807965385
10191,1,0.4054978162
10193,2,-0.2876493708
10195,1,0.4054978033
10197,7,-3.7533852864
10199,1,0.4054977905
10201,2,-0.2876493965
10203,1,0.4054977777
10205,3,-0.9807965898
10207,1,0.4054977649
10209,2,-0.2876494221
10211,1,0.4054977521
10213,4,-1.6739437960
10215,1,0.4054977393
10217,2,-0.2876494476
10219,1,0.4054977266
10221,3,-0.9807966409
10223,1,0.4054977138
10225,2,-0.2876494731
10227,1,0.4054977010
10229,5,-2.3670910276
10231,1,0.4054976883
10233,2,-0.2876494986
10235,1,0.4054976756
10237,3,-0.9807966919
10239,1,0.4054976628
10241,2,-0.2876495241
10243,1,0.4054976501
10245,4,-1.6739438979
10247,1,0.4054976374
10249,2,-0.2876495495
10251,1,0.4054976247
10253,3,-0.9807967427
10255,1,0.4054976120
10257,2,-0.2876495748
10259,1,0.4054975994
10261,6,-3.0602383098
10263,1,0.4054975867
10265,2,-0.2876496002
10267,1,0.4054975741
10269,3,-0.9807967934
10271,1,0.4054975614
10273,2,-0.2876496255
10275,1,0.4054975488
10277,4,-1.6739439992
10279,1,0.4054975362
10281,2,-0.2876496507
10283,1,0.4054975235
10285,3,-0.9807968439
10287,1,0.4054975109
10289,2,-0.2876496759
10291,1,0.4054974983
10293,5,-2.3670912302
10295,1,0.4054974858
10297,2,-0.2876497011
10299,1,0.4054974732
10301,3,-0.9807968942
10303,1,0.4054974606
10305,2,-0.2876497262
10307,1,0.4054974481
10309,4,-1.6739440999
10311,1,0.4054974355
10313,2,-0.2876497513
10315,1,0.4054974230
10317,3,-0.9807969444
10319,1,0.4054974105
10321,2,-0.2876497764
10323,1,0.4054973979
10325,8,-4.4465328722
10327,1,0.4054973854
10329,2,-0.2876498014
10331,1,0.4054973729
10333,3,-0.9807969944
10335,1,0.4054973605
10337,2,-0.2876498263
10339,1,0.4054973480
10341,4,-1.6739441999
10343,1,0.4054973355
10345,2,-0.2876498513
10347,1,0.4054973230
10349,3,-0.9807970443
10351,1,0.4054973106
10353,2,-0.2876498762
10355,1,0.4054972982
10357,5,-2.3670914303
10359,1,0.4054972857
10361,2,-0.2876499010
10363,1,0.4054972733
10365,3,-0.9807970940
10367,1,0.4054972609
10369,2,-0.2876499259
10371,1,0.4054972485
10373,4,-1.6739442994
10375,1,0.4054972361
10377,2,-0.2876499506
10379,1,0.4054972237
10381,3,-0.9807971436
10383,1,0.4054972114
10385,2,-0.2876499754
10387,1,0.4054971990
10389,6,-3.0602387100
10391,1,0.4054971866
10393,2,-0.2876500001
10395,1,0.4054971743
10397,3,-0.9807971930
10399,1,0.4054971620
10401,2,-0.2876500248
10403,1,0.4054971496
10405,4,-1.6739443982
10407,1,0.4054971373
10409,2,-0.2876500494
10411,1,0.4054971250
10413,3,-0.9807972423
10415,1,0.4054971127
10417,2,-0.2876500740
10419,1,0.4054971004
10421,5,-2.3670916279
10423,1,0.4054970882
